epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,53078.3,1.81979,1.07159,0.0028,0.74529,0.61764,0.6956,0.36323,1.69193,1.00369,0.0037,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,53748,1.81085,1.06442,0.0028,0.74643,0.61743,0.69583,0.36361,1.69132,1.00332,0.0037,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,54417.8,1.81089,1.06285,0.00279,0.74764,0.61763,0.69631,0.3637,1.69137,1.00257,0.0037,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,55091.7,1.81117,1.06406,0.00279,0.74768,0.61739,0.69645,0.36389,1.69132,1.00197,0.0037,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,55763.4,1.8092,1.06116,0.00278,0.74741,0.61815,0.69665,0.36396,1.69116,1.00126,0.0037,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,56435.1,1.80834,1.05981,0.00277,0.74878,0.61688,0.69699,0.36425,1.69071,1.00083,0.0037,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,57108.2,1.80444,1.05724,0.00278,0.74951,0.61689,0.69727,0.36432,1.6908,1.00035,0.0037,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,57780.4,1.80317,1.05569,0.00277,0.74899,0.61796,0.69744,0.36446,1.69059,1.00016,0.0037,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,58453.6,1.79448,1.05036,0.00278,0.74927,0.61803,0.69772,0.36448,1.69051,0.99973,0.0037,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,59127.3,1.79849,1.05021,0.00275,0.7509,0.61704,0.698,0.36453,1.69052,0.99903,0.0037,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
